# Displaying trades for selected time interval: Session
name,date,quantity,price,state
Twisted buckler,2026-05-22 10:18 AM,2,13316385,SOLD
# Total profit: 67870

Sanfew serum(4),2026-05-20 10:06 AM,517,17701,CANCELLED_BUY
Sanfew serum(4),2026-05-20 10:26 AM,2,17894,CANCELLED_SELL
Sanfew serum(4),2026-05-20 10:53 AM,201,17798,CANCELLED_SELL
Sanfew serum(4),2026-05-20 11:11 AM,314,17716,SOLD
# Total profit: 24593

Magic longbow,2026-05-20 05:04 PM,3824,1195,CANCELLED_BUY
# Total profit: 0

Enhanced crystal teleport seed,2026-05-22 11:59 AM,2,3393345,CANCELLED_BUY
# Total profit: 0

Nature rune,2026-05-21 10:22 AM,30000,124,SOLD
# Total profit: 0

Vial of blood,2026-05-20 03:57 PM,105,8891,CANCELLED_BUY
Vial of blood,2026-05-20 03:58 PM,105,8991,SOLD
# Total profit: 10500

Dragonfire shield,2026-05-21 02:42 PM,1,3903270,SOLD
# Total profit: 0

Ruby dragon bolts (e),2026-05-21 09:35 AM,1542,2801,SOLD
# Total profit: 0

Torstol seed,2026-05-21 09:31 AM,59,17068,SOLD
# Total profit: 0

Astral rune,2026-05-21 10:14 AM,25000,105,SOLD
# Total profit: 0

Ranging potion(4),2026-05-22 11:43 AM,17,2504,CANCELLED_BUY
Ranging potion(4),2026-05-22 11:45 AM,17,2517,SOLD
# Total profit: 221

Bandos boots,2026-05-20 12:13 PM,1,923505,BOUGHT
Bandos boots,2026-05-20 12:52 PM,2,975643,BOUGHT
Bandos boots,2026-05-20 02:44 PM,1,1092216,CANCELLED_BUY
Bandos boots,2026-05-20 03:08 PM,1,1128363,BOUGHT
Bandos boots,2026-05-21 11:18 AM,1,971000,BOUGHT
Bandos boots,2026-05-21 02:18 PM,1,990000,CANCELLED_BUY
Bandos boots,2026-05-21 02:38 PM,1,987057,BOUGHT
# Total profit: 0

Black tourmaline core,2026-05-20 11:57 AM,1,1385691,CANCELLED_BUY
Black tourmaline core,2026-05-20 01:06 PM,2,1386381,CANCELLED_BUY
Black tourmaline core,2026-05-20 02:21 PM,2,1387975,BOUGHT
Black tourmaline core,2026-05-21 10:47 AM,1,1550110,CANCELLED_BUY
Black tourmaline core,2026-05-21 12:53 PM,2,1562137,CANCELLED_BUY
# Total profit: 0

Super restore(4),2026-05-20 10:47 AM,2000,11006,BOUGHT
Super restore(4),2026-05-20 10:57 AM,2000,11055,SOLD
# Total profit: 98000

Zamorak hilt,2026-05-21 02:57 PM,1,17950000,BOUGHT
# Total profit: 0

Ancient godsword,2026-05-21 09:39 AM,1,39371169,SOLD
# Total profit: 0

Venator bow (uncharged),2026-05-21 02:45 PM,1,66640000,SOLD
# Total profit: 0

